る ,4483
 年,3799
た ,3391
は ,2911
年 ,2610
てい,2441
して,2345
され,2172
する,2135
した,1972
った,1833
いる,1760
ある,1730
 月,1570
であ,1543
 日,1493
れた,1398
から,1244
り ,1228
って,1204
月 ,1193
こと,1093
れて,1042
とし,1014
し ,997
が ,973
れる,928
 こ,909
では,907
には,901
 は,895
ー ,838
 に,831
ン ,825
e ,814
いた,810
 そ,796
ス ,795
によ,777
で ,772
その,752
 ア,731
 と,712
ット,707
られ,694
 の,671
この,671
て ,665
なっ,664
の ,661
町 ,658
ない,657
リー,656
ル ,647
など,645
とな,644
い ,642
ると,604
るこ,586
いて,585
ール,578
ト ,577
ター,568
日本,564
に ,562
より,558
ため,546
ック,546
放送,541
もの,528
と ,518
ート,517
にな,517
年に,508
なる,499
スト,495
があ,492
あっ,489
郡 ,488
イン,486
スタ,481
れ ,474
 世,473
よう,458
s ,454
とい,452
また,432
 ま,428
 大,419
ンド,416
ティ,410
 a,398
ード,392
たが,390
いう,389
日 ,387
でき,382
まで,381
ディ,380
ら ,379
あり,376
 ス,374
とが,374
 e,372
リス,369
ラン,366
 s,365
 シ,365
ング,362
 を,358
 フ,357
登場,357
 で,356
う ,353
n ,350
t ,349
in,345
第 ,344
これ,342
ース,339
 m,336
er,332
め ,331
 マ,330
ュー,330
 c,329
 イ,329
 t,324
 が,323
われ,318
く ,318
ク ,316
に登,315
場す,315
ーム,314
a ,312
ド ,310
送 ,305
カー,303
ント,300
ライ,299
日放,297
ショ,296
レー,292
とも,291
ーズ,289
 人,288
ロー,287
ルト,279
リア,279
にお,278
 英,276
ョン,275
 カ,275
学校,275
 b,274
ンス,273
きる,273
 ジ,271
 本,270
ては,269
英語,269
 ロ,268
アン,265
 東,264
r ,263
うに,262
on,261
ーン,259
ンの,257
 オ,257
日に,256
バー,256
ジャ,255
でも,253
にあ,252
よる,251
 同,250
 リ,250
大学,249
なり,249
 d,248
 平,248
ける,247
なく,247
シュ,246
 第,245
タイ,244
るが,243
版 ,243
ンタ,242
世 ,241
かっ,241
 ハ,239
 な,236
 現,235
 l,234
 ド,234
o ,234
たと,234
ップ,234
 か,233
ージ,232
語版,232
につ,232
フィ,230
リン,230
ム ,229
との,229
それ,228
場合,228
道 ,227
つい,227
ar,226
おり,225
 p,224
 エ,224
的に,223
ので,223
での,222
ドラ,221
の一,221
てお,220
 ク,220
後 ,220
an,219
ズ ,219
 し,218
の中,217
世界,217
リカ,217
にも,216
道具,214
プロ,214
とは,213
道路,212
よっ,211
子 ,209
at,209
和 ,207
州 ,206
ファ,206
y ,205
もあ,203
 国,203
ve,202
はな,202
re,201
的な,201
時代,201
使用,200
 中,199
 バ,199
現在,199
を ,198
アル,198
 コ,198
 回,197
昭和,196
st,195
なか,195
 n,195
けて,194
を行,194
 お,193
シー,192
がで,191
おい,191
li,191
 ウ,191
も ,190
しか,190
nd,190
メリ,189
ア ,189
年の,189
き ,189
ラー,188
アー,187
 サ,187
える,186
トラ,186
 昭,186
の後,186
ic,185
 一,185
d ,185
 デ,184
 つ,184
成 ,183
ジョ,183
ウス,183
 作,181
ルー,181
ステ,181
ボン,181
 ト,181
たこ,180
ーク,179
月に,179
オー,179
or,178
 新,178
らの,178
クス,178
スの,178
 ポ,177
クラ,177
アメ,176
ジェ,175
to,175
イ ,174
チャ,173
たも,173
am,173
 ラ,172
 f,172
ンは,172
タン,171
コン,171
トの,171
高速,170
タナ,170
 小,170
都市,169
スボ,169
だっ,168
るよ,167
ても,167
p ,166
ん ,166
どの,166
バス,165
のた,165
do,165
al,165
en,165
かれ,164
 北,164
co,164
まれ,164
 た,163
本の,163
シャ,163
コー,163
ロッ,162
人の,162
 ブ,162
かし,162
とに,162
ra,161
バラ,161
グ ,160
イト,160
るた,159
レン,159
ャー,158
l ,158
 西,157
ヴァ,157
m ,157
くな,157
平成,157
ーシ,157
マン,157
ラ ,156
io,156
ルの,154
es,154
ti,154
のよ,154
およ,154
 o,153
ての,153
ィー,153
 分,153
th,152
トン,152
たり,152
 高,152
ダイ,151
le,151
生 ,151
しい,150
ブラ,150
パー,150
行わ,149
めて,149
 あ,149
ne,149
 i,149
ro,149
ンバ,148
 g,148
 テ,148
に対,148
ou,148
マー,147
よび,147
への,147
サン,147
約 ,147
させ,146
会社,146
 タ,145
多く,145
たの,145
 チ,144
ーの,144
しま,143
んで,143
ーマ,143
受け,143
 三,143
us,143
フォ,143
映画,143
ma,142
 パ,142
時間,142
ニッ,142
サイ,141
 メ,141
 w,141
 j,141
活動,141
wi,141
管理,140
 ミ,140
 期,139
c ,139
めに,139
たた,139
ow,139
 号,139
ばれ,138
リッ,138
ャン,138
ィン,138
東京,138
ンダ,138
 自,138
作品,138
te,138
ラジ,137
に関,137
ナゴ,137
ーナ,137
 r,137
の大,136
研究,136
中心,136
la,135
 レ,135
とを,135
de,135
中で,135
県 ,135
ri,134
のア,134
ニア,134
ープ,134
取り,134
テー,134
 ニ,134
を受,134
か ,133
アイ,133
 ヴ,133
いな,133
ーリ,133
 地,132
後に,132
きな,132
イツ,132
メン,132
ブル,131
たち,131
レイ,131
者の,130
長 ,130
